0	0	A	A	5
0	0	E	E	5
0	0	I	I	5
0	0	O	O	5
0	0	U	U	5
0	0	B	B	5
0	0	C	C	5
0	0	D	D	5
0	0	F	F	5
0	0	G	G	5
0	0	H	H	5
0	0	J	J	5
0	0	K	K	5
0	0	L	L	5
0	0	M	M	5
0	0	N	N	5
0	0	P	P	5
0	0	Q	Q	5
0	0	R	R	5
0	0	S	S	5
0	0	T	T	5
0	0	V	V	5
0	0	W	W	5
0	0	X	X	5
0	0	Y	Y	5
0	0	Z	Z	5
0	0	0	0	5
0
0	2	A	A	1
0	2	E	E	1
0	2	I	I	1
0	2	O	O	1
0	2	U	U	1
2	3	H	eps	0
3	0	B	B	0
3	0	C	C	0
3	0	D	D	0
3	0	F	F	0
3	0	G	G	0
3	0	H	H	0
3	0	J	J	0
3	0	K	K	0
3	0	L	L	0
3	0	M	M	0
3	0	N	N	0
3	0	P	P	0
3	0	Q	Q	0
3	0	R	R	0
3	0	S	S	0
3	0	T	T	0
3	0	V	V	0
3	0	W	W	0
3	0	X	X	0
3	0	Y	Y	0
3	0	Z	Z	0
3	0	A	A	500
3	0	E	E	500
3	0	I	I	500
3	0	O	O	500
3	0	U	U	500
3
0	3	C	eps	1
3	0	K	K	0
0	4	P	eps	1
4	0	H	F	0
0	0	Q	K	1
0	5	S	X	1
5	0	H	H	0
0	5	S	X	1
5	6	I	I	0
6	0	O	O	0
0	5	S	X	1
5	6	I	I	0
6	0	A	A	0
